title\url\rating\genre\languages\type\director\cast\score\boxOffice\releaseDate\votes\duration
White Chicks\https://www.imdb.com/title/tt0381707\PG-13\Comedy,Crime\English\Movie\Keenen Ivory Wayans\Marlon Wayans,Shawn Wayans,Busy Philipps,Maitland Ward,Jaime King,Frankie Faison,Lochlyn Munro,John Heard,Terry Crews,Brittany Daniel,Eddie Velez,Jessica Cauffiel,Anne Dudek,Rochelle Aytes,Jennifer Carpenter,Faune Chambers Watkins,John Reardon,Steven Grayhm\5.7\113100873\June 23, 2004\142K\1h 49m
Sausage Party\https://www.imdb.com/title/tt1700841\R\Animation,Adventure,Comedy\English\Movie\Greg Tiernan\Seth Rogen,Kristen Wiig,Jonah Hill,Alistair Abell,Iris Apatow,Sugar Lyn Beard,Michael Cera,Ian James Corlett,Michael Daingerfield,Brian Dobson,Michael Dobson,James Franco,Bill Hader,Ian Hanlin,Salma Hayek,Maryke Hendrikse,Anders Holm,Nick Kroll\6.1\140705322\August 12, 2016\191K\1h 29m
Dope\https://www.imdb.com/title/tt3850214\R\Adventure,Comedy,Crime\English,Spanish\Movie\Rick Famuyiwa\Shameik Moore,Tony Revolori,Kiersey Clemons,Kimberly Elise,ASAP Rocky,Blake Anderson,Bruce Beatty,De'aundre Bonds,Julian Brand,Quincy Brown,Rick Fox,Christopher Glenn,Ricky Harris,Chanel Iman,Wyking Jones,Amin Joseph,Kap G,Zoë Kravitz\7.2\17986781\June 19, 2015\84K\1h 43m
Kubo and the Two Strings\https://www.imdb.com/title/tt4302938\PG\Animation,Action,Adventure\English\Movie\Travis Knight\Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,Brenda Vaccaro,Cary-Hiroyuki Tagawa,Meyrick Murphy,George Takei,Rooney Mara,Minae Noji,Alpha Takahashi,Laura Miro,Ken Takemoto,Aaron Aoki,Luke Donaldson,Michael Sun Lee,Cary Y. Mizobe,Rachel Morihiro\7.8\76249438\August 19, 2016\127K\1h 41m
Grease\https://www.imdb.com/title/tt0077631\PG\Comedy,Musical,Romance\English\Movie\Randal Kleiser\John Travolta,Olivia Newton-John,Stockard Channing,Jeff Conaway,Barry Pearl,Michael Tucci,Kelly Ward,Didi Conn,Jamie Donnelly,Dinah Manoff,Eve Arden,Frankie Avalon,Joan Blondell,Edd Byrnes,Sid Caesar,Alice Ghostley,Dody Goodman,Sha-Na-Na\7.2\396271103\June 16, 1978\264K\1h 50m
How to Lose a Guy in 10 Days\https://www.imdb.com/title/tt0251127\PG-13\Comedy,Romance\English\Movie\Donald Petrie\Kate Hudson,Matthew McConaughey,Adam Goldberg,Kathryn Hahn,Annie Parisse,Thomas Lennon,Michael Michele,Shalom Harlow,Robert Klein,Bebe Neuwirth,Samantha Quan,Justin Peroff,Celia Weston,James Murtaugh,Archie MacGregor,John DiResta,Scott Benes,Zachary Benes\6.4\177502387\February 7, 2003\232K\1h 56m
Step Up\https://www.imdb.com/title/tt0462590\PG-13\Crime,Drama,Music\English\Movie\Anne Fletcher\Channing Tatum,Jenna Dewan,Damaine Radcliff,De'Shawn Washington,Mario,Drew Sidora,Rachel Griffiths,Josh Henderson,Tim Lacatena,Alyson Stoner,Heavy D,Deirdre Lovejoy,Jane Beard,Richard Pelzman,Carlyncia S. Peck,Ryan Sands,DeLon Howell,Dominique Boyd\6.5\114197742\August 11, 2006\118K\1h 44m
Twilight\https://www.imdb.com/title/tt1099212\PG-13\Drama,Fantasy,Romance\English\Movie\Catherine Hardwicke\Kristen Stewart,Robert Pattinson,Billy Burke,Sarah Clarke,Matt Bushell,Gil Birmingham,Taylor Lautner,Gregory Tyree Boyce,Justin Chon,Michael Welch,Anna Kendrick,Christian Serratos,Nikki Reed,Kellan Lutz,Ashley Greene,Jackson Rathbone,José Zúñiga,Trish Egan\5.3\408430415\November 21, 2008\455K\2h 2m
Coraline\https://www.imdb.com/title/tt0327597\PG\Animation,Drama,Family\English,Russian\Movie\Henry Selick\Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunders,Dawn French,Keith David,Robert Bailey Jr.,Ian McShane,Aankha Neal,George Selick,Hannah Kaiser,Harry Selick,Marina Budovsky,Emerson Tenney,Jerome Ranft,Christopher Murrie-Green,Jeremy Ryder,Carolyn Crawford\7.7\124596837\February 6, 2009\220K\1h 40m
Friday Night Lights\https://www.imdb.com/title/tt0390022\PG-13\Action,Drama,Sport\English\Movie\Peter Berg\Billy Bob Thornton,Jay Hernandez,Derek Luke,Lucas Black,Garrett Hedlund,Lee Jackson,Lee Thompson Young,Tim McGraw,Grover Coulson,Connie Britton,Connie Cooper,Kasey Stevens,Ryanne Duzich,Amber Heard,Morgan Farris,Laine Kelly,Gavin Grazer,Turk Pipkin\7.2\61950770\October 8, 2004\63K\1h 58m
Safe Haven\https://www.imdb.com/title/tt1702439\PG-13\Drama,Romance,Thriller\English,Portuguese\Movie\Lasse Hallström\Julianne Hough,Josh Duhamel,Cobie Smulders,David Lyons,Irene Ziegler,Jon Kohler,Tim Parati,Giulia Pagano,Juan Piedrahita,Red West,Noah Lomax,Mimi Kirkland,Robin Mullins,Jasper Grey,Tora Hallström,Wendy Wilmot,Ric Reitz,Cullen Moss\6.6\97594140\February 14, 2013\110K\1h 55m
Blow\https://www.imdb.com/title/tt0221027\R\Biography,Crime,Drama\English\Movie\Ted Demme\Johnny Depp,Penélope Cruz,Franka Potente,Rachel Griffiths,Paul Reubens,Jordi Mollà,Cliff Curtis,Miguel Sandoval,Ethan Suplee,Ray Liotta,Kevin Gage,Max Perlich,Jesse James,Miguel Pérez,Dan Ferro,Tony Amendola,Bobcat Goldthwait,Michael Tucci\7.5\83282296\April 6, 2001\256K\2h 4m
Magic Mike\https://www.imdb.com/title/tt1915581\R\Comedy,Drama\English\Movie\Steven Soderbergh\Channing Tatum,Alex Pettyfer,Olivia Munn,Matthew McConaughey,James Martin Kelly,Cody Horn,Reid Carolin,Avery Bigelow,George A. Sack,Micaela Johnson,Denise Vasi,Camryn Grimes,Kate Easton,Asher Wallis,Joe Manganiello,Matt Bomer,Adam Rodriguez,Kevin Nash\6.1\167800003\June 29, 2012\137K\1h 50m
Trouble with the Curve\https://www.imdb.com/title/tt2083383\PG-13\Drama,Sport\English\Movie\Robert Lorenz\Clint Eastwood,Amy Adams,John Goodman,Justin Timberlake,Chelcie Ross,Raymond Anthony Thomas,Ed Lauter,Clifton Guterman,Carla Fisher,George Wyner,Bob Gunton,Jack Gilpin,Matthew Lillard,Robert Patrick,Nathan Wright,Scott Eastwood,Matt Bush,Sam Collins\6.8\48963137\September 21, 2012\64K\1h 51m
London Has Fallen\https://www.imdb.com/title/tt3300542\R\Action,Thriller\English,Italian,French,Japanese\Movie\Babak Najafi\Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett,Alon Aboutboul,Waleed Zuaiter,Adel Bencherif,Mehdi Dehbi,Shivaani Ghai,Martin Petrushev,Owen Davis,Michael Wildman,Radha Mitchell,Lucy Newman-Williams,Julian Kostov,Stacy Shane,Penny Downie,Guy Williams\5.9\205754447\March 4, 2016\156K\1h 39m
Limitless\https://www.imdb.com/title/tt1219289\PG-13\Sci-Fi,Thriller\English,Russian,Italian,Mandarin,French\Movie\Neil Burger\Bradley Cooper,Anna Friel,Abbie Cornish,Robert De Niro,Andrew Howard,Johnny Whitworth,Tomas Arana,Robert John Burke,Darren Goldstein,Ned Eisenberg,T.V. Carpio,Richard Bekins,Patricia Kalember,Cindy Katz,Brian Anthony Wilson,Rebecca Dayan,Ann Marie Green,Damali Mason\7.4\161849455\March 18, 2011\562K\1h 45m
Scooby-Doo\https://www.imdb.com/title/tt0267913\PG\Adventure,Comedy,Family\English\Movie\Raja Gosnell\Matthew Lillard,Freddie Prinze Jr.,Sarah Michelle Gellar,Linda Cardellini,Rowan Atkinson,Isla Fisher,Miguel A. Núñez Jr.,Steven Grives,Charles Stan Frazier,Craig Bullock,Matthew Murphy Karges,Mark McGrath,Rodney Sheppard,Sam Greco,Charlie Cousins,Kristian Schmid,Nicholas Hope,Neil Fanning\5.2\275678613\June 14, 2002\110K\1h 26m
Chicken Little\https://www.imdb.com/title/tt0371606\G\Animation,Adventure,Comedy\English\Movie\Mark Dindal\Zach Braff,Joan Cusack,Garry Marshall,Don Knotts,Patrick Stewart,Amy Sedaris,Steve Zahn,Wallace Shawn,Harry Shearer,Fred Willard,Catherine O'Hara,Patrick Warburton,Adam West,Mark Walton,Mark Dindal,Dan Molina,Joe Whyte,Sean Elmore\5.7\314432837\November 4, 2005\92K\1h 21m
