title\rating\user rating score\genre\languages\series or movie\countries\director\writer\cast\imdb score\boxoffice\release date\netflix release date\production house\imdb link\imdb votes\type\duration
Justin Bieber: Never Say Never\G\\Documentaries, Music & Musicals\\\United States\Jon M. Chu\\Justin Bieber, Ludacris, Usher Raymond, Jaden Smith, Miley Cyrus, Sean Kingston, Boyz II Men\\\\2018-01-01\\\\Movie\106 min
K-19: The Widowmaker\PG-13\\Action & Adventure, Dramas\\\United Kingdom, Germany, Canada, United States\Kathryn Bigelow\\Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter\\\\2019-11-21\\\\Movie\138 min
Kaabil\TV-14\\Dramas, International Movies\\\India\Sanjay Gupta\\Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy, Narendra Jha, Girish Kulkarni, Sahidur Rahaman, Suresh Menon\\\\2017-06-25\\\\Movie\139 min
Kaakan\TV-PG\\Dramas, International Movies, Romantic Movies\\\India\Kranti Redkar\\Jitendra Joshi, Urmila Kanitkar, Ashutosh Gaikwad, Ashok Shinde, Madhavi Juvekar\\\\2018-03-01\\\\Movie\132 min
Kaalia\TV-14\\Action & Adventure, Dramas, International Movies\\\India\Tinnu Anand\\Amitabh Bachchan, Asha Parekh, Parveen Babi, Amjad Khan, Pran, K.N. Singh, Sajjan, Murad, Kader Khan, Jagdeep\\\\2019-12-31\\\\Movie\173 min
Kaaliyan\TV-PG\\Dramas, International Movies\\\India\Jijo Pancode\\Tini Tom, Meghanathan, Balachandran Chullikadu, Shivaji Guruvayoor, Kottayam Purushan, Nithin George, Grace Antony, Shalu\\\\2018-08-01\\\\Movie\105 min
Kabali (Hindi Version)\TV-MA\\Action & Adventure, Dramas, International Movies\\\India\Pa. Ranjith\\Rajnikanth, Winston Chao, Radhika Apte, Nassar, Dhansika, Kalaiyarasan, Dinesh, John Vijay, Kishore Kumar G., Riythvika\\\\2017-12-15\\\\Movie\148 min
Kacche Dhaagey\TV-14\\Dramas, International Movies, Romantic Movies\\\India\Buta Singh\\Yograj Singh, Nitu Pandher, Deep Mandian, Shreya Chawla, Jagpal Singh Chahal, Jyoti Sharma, Janak Joshi, Karan Vinayak\\\\2017-11-01\\\\Movie\120 min
Kahlil Gibran's The Prophet\PG\\Children & Family Movies, Dramas\\\United States, France, Canada, Lebanon, Qatar\Roger Allers, GaÃ«tan Brizzi, Paul Brizzi, Joan C. Gratz, Mohammed Saeed Harib, Tomm Moore, Nina Paley, Bill Plympton, Joann Sfar, Michael Socha\\Liam Neeson, Salma Hayek, John Krasinski, Frank Langella, Alfred Molina, John Rhys-Davies, QuvenzhanÃ© Wallis\\\\2017-10-01\\\\Movie\85 min
Kajraare\TV-14\\Dramas, International Movies, Music & Musicals\\\India\Pooja Bhatt\\Himesh Reshammiya, Sara Loren, Amrita Singh, Gulshan Grover, Javed Sheikh, Adnan Shah, Natasha Sinha, Gaurav Chanana, Anupam Shyam\\\\2017-10-22\\\\Movie\113 min
